积石山保安族东乡族撒拉族自治县,15
双江拉祜族佤族布朗族傣族自治县,15
镇沅彝族哈尼族拉祜族自治县,13
孟连傣族拉祜族佤族自治县,12
元江哈尼族彝族傣族自治县,12
塔什库尔干塔吉克自治县,11
莫力达瓦达斡尔族自治旗,11
前郭尔罗斯蒙古族自治县,11
喀喇沁左翼蒙古族自治县,11
威宁彝族回族苗族自治县,11
金平苗族瑶族傣族自治县,11
江城哈尼族彝族自治县,10
印江土家族苗族自治县,10
围场满族蒙古族自治县,10
彭水苗族土家族自治县,10
酉阳土家族苗族自治县,10
紫云苗族布依族自治县,10
宁洱哈尼族彝族自治县,10
秀山土家族苗族自治县,10
镇宁布依族苗族自治县,10
关岭布依族苗族自治县,10
道真仡佬族苗族自治县,10
杜尔伯特蒙古族自治县,10
兰坪白族普米族自治县,10
贡山独龙族怒族自治县,10
阿克塞哈萨克族自治县,10
务川仡佬族苗族自治县,10
和布克赛尔蒙古自治县,10
寻甸回族彝族自治县 ,10
景谷傣族彝族自治县,9
新平彝族傣族自治县,9
连山壮族瑶族自治县,9
察布查尔锡伯自治县,9
新站综合开发试验区,9
临港经济技术开发区,9
高新技术产业开发区,9
耿马傣族佤族自治县,9
巍山彝族回族自治县,9
巴里坤哈萨克自治县,9
禄劝彝族苗族自治县,9
靖州苗族侗族自治县,9
达尔罕茂明安联合旗,9
民和回族土族自治县,9
沉湖林业科技示范区,9
大通回族土族自治县,9
环江毛南族自治县,8
张家川回族自治县,8
罗城仫佬族自治县,8
河南蒙古族自治县,8
肃南裕固族自治县,8
五峰土家族自治县,8
循化撒拉族自治县,8
长阳土家族自治县,8
长白朝鲜族自治县,8
塔什库尔干塔吉克,8
木垒哈萨克自治县,8
梅里斯达斡尔族区,8
维西傈僳族自治县,8
肃北蒙古族自治县,8
阜新蒙古族自治县,8
沿河土家族自治县,8
墨江哈尼族自治县,8
石柱土家族自治县,8
澜沧拉祜族自治县,8
玉龙纳西族自治县,8
本溪满族自治县,7
彬村山华侨农场,7
侨乡街道开发区,7
科尔沁右翼中旗,7
伊通满族自治县,7
察哈尔右翼中旗,7
科尔沁右翼前旗,7
汽车产业开发区,7
察哈尔右翼后旗,7
丰宁满族自治县,7
宽城满族自治县,7
青龙满族自治县,7
库西经济工业园,7
连南瑶族自治县,7
门源回族自治县,7
岫岩满族自治县,7
新宾满族自治县,7
焉耆回族自治县,7
天祝藏族自治县,7
宽甸满族自治县,7
互助土族自治县,7
桓仁满族自治县,7
清原满族自治县,7
化隆回族自治县,7
兴隆综合保税区,7
峨山彝族自治县,7
融水苗族自治县,7
中关村科技园区,7
西盟佤族自治县,7
景东彝族自治县,7
宁蒗彝族自治县,7
科尔沁左翼后旗,7
科尔沁左翼中旗,7
洋浦经济开发区,7
石林彝族自治县,7
三都水族自治县,7
松桃苗族自治县,7
玉屏侗族自治县,7
通道侗族自治县,7
城步苗族自治县,7
沧源佤族自治县,7
芷江侗族自治县,7
新晃侗族自治县,7
庐山风景名胜区,7
景宁畲族自治县,7
北川羌族自治县,7
舟山本岛西北部,7
麻阳苗族自治县,7
木里藏族自治县,7
峨边彝族自治县,7
马边彝族自治县,7
江华瑶族自治县,7
三江侗族自治县,7
经济技术开发区,7
金秀瑶族自治县,7
漾濞彝族自治县,7
高新技术开发区,7
恭城瑶族自治县,7
龙胜各族自治县,7
鄂温克族自治旗,7
大化瑶族自治县,7
熊口农场管理区,7
南涧彝族自治县,7
隆林各族自治县,7
孟村回族自治县,7
乳源瑶族自治县,7
察哈尔右翼前旗,7
富川瑶族自治县,7
大厂回族自治县,7
河口瑶族自治县,7
巴马瑶族自治县,7
都安瑶族自治县,7
屏边苗族自治县,7
新巴尔虎右旗,6
东方华侨农场,6
鹰手营子矿区,6
西乌珠穆沁旗,6
新巴尔虎左旗,6
兴隆华侨农场,6
东乌珠穆沁旗,6
白云鄂博矿区,6
鄂伦春自治旗,6
阿鲁科尔沁旗,6
运粮湖管理区,6
圣安多尼堂区,6
兵团四十四团,6
高新汾东园区,6
松山湖高新区,6
高新姚村园区,6
兵团五十三团,6
政务文化新区,6
图木舒克市区,6
九合垸原种场,6
高新阳曲园区,6
兵团五十二团,6
兵团五十一团,6
漕河泾开发区,6
察布查尔锡伯,6
金银川路街道,6
白鹭湖管理区,6
圣方济各堂区,6
岱山岛西南部,6
兵团四十九团,6
济技术开发区,6
东乡族自治县,6
扎赉诺尔区,5
伊金霍洛旗,5
